"Epoch","devoted-sound-306 - _step","devoted-sound-306 - _step__MIN","devoted-sound-306 - _step__MAX","devoted-sound-306 - RI score","devoted-sound-306 - RI score__MIN","devoted-sound-306 - RI score__MAX","copper-waterfall-309 - _step","copper-waterfall-309 - _step__MIN","copper-waterfall-309 - _step__MAX","copper-waterfall-309 - RI score","copper-waterfall-309 - RI score__MIN","copper-waterfall-309 - RI score__MAX","amber-rain-344 - _step","amber-rain-344 - _step__MIN","amber-rain-344 - _step__MAX","amber-rain-344 - RI score","amber-rain-344 - RI score__MIN","amber-rain-344 - RI score__MAX","worthy-yogurt-341 - _step","worthy-yogurt-341 - _step__MIN","worthy-yogurt-341 - _step__MAX","worthy-yogurt-341 - RI score","worthy-yogurt-341 - RI score__MIN","worthy-yogurt-341 - RI score__MAX","driven-waterfall-297 - _step","driven-waterfall-297 - _step__MIN","driven-waterfall-297 - _step__MAX","driven-waterfall-297 - RI score","driven-waterfall-297 - RI score__MIN","driven-waterfall-297 - RI score__MAX","fancy-waterfall-343 - _step","fancy-waterfall-343 - _step__MIN","fancy-waterfall-343 - _step__MAX","fancy-waterfall-343 - RI score","fancy-waterfall-343 - RI score__MIN","fancy-waterfall-343 - RI score__MAX"
"52","1559","1559","1559","0.9564693185544411","0.9564693185544411","0.9564693185544411","","","","","","","1559","1559","1559","0.9595626178000264","0.9595626178000264","0.9595626178000264","","","","","","","","","","","","","1559","1559","1559","0.9489838028098375","0.9489838028098375","0.9489838028098375"
"53","1589","1589","1589","0.9570609941534596","0.9570609941534596","0.9570609941534596","","","","","","","1589","1589","1589","0.9610217452084943","0.9610217452084943","0.9610217452084943","","","","","","","","","","","","","1589","1589","1589","0.9543163709772099","0.9543163709772099","0.9543163709772099"
"54","1619","1619","1619","0.9610005533890452","0.9610005533890452","0.9610005533890452","","","","","","","1619","1619","1619","0.9618297186446899","0.9618297186446899","0.9618297186446899","","","","","","","","","","","","","1619","1619","1619","0.9545864960357876","0.9545864960357876","0.9545864960357876"
"55","1649","1649","1649","0.9598898194923203","0.9598898194923203","0.9598898194923203","","","","","","","1649","1649","1649","0.963726245206587","0.963726245206587","0.963726245206587","","","","","","","","","","","","","1649","1649","1649","0.953082159412495","0.953082159412495","0.953082159412495"
"56","1679","1679","1679","0.9584031427185685","0.9584031427185685","0.9584031427185685","","","","","","","1679","1679","1679","0.9610254184571988","0.9610254184571988","0.9610254184571988","","","","","","","","","","","","","1679","1679","1679","0.9507503528791136","0.9507503528791136","0.9507503528791136"
"57","1709","1709","1709","0.9588023965969894","0.9588023965969894","0.9588023965969894","","","","","","","1709","1709","1709","0.9615242738870303","0.9615242738870303","0.9615242738870303","","","","","","","","","","","","","1709","1709","1709","0.9513380726718349","0.9513380726718349","0.9513380726718349"
"58","1739","1739","1739","0.9593206072219178","0.9593206072219178","0.9593206072219178","","","","","","","1739","1739","1739","0.9610990247100853","0.9610990247100853","0.9610990247100853","","","","","","","","","","","","","1739","1739","1739","0.9544898613390997","0.9544898613390997","0.9544898613390997"
"59","1769","1769","1769","0.9583069318582697","0.9583069318582697","0.9583069318582697","","","","","","","1769","1769","1769","0.9612018756738115","0.9612018756738115","0.9612018756738115","","","","","","","","","","","","","1769","1769","1769","0.9496377823580363","0.9496377823580363","0.9496377823580363"
"60","1799","1799","1799","0.9593668053883168","0.9593668053883168","0.9593668053883168","","","","","","","1799","1799","1799","0.961480477460169","0.961480477460169","0.961480477460169","","","","","","","","","","","","","1799","1799","1799","0.947296086308912","0.947296086308912","0.947296086308912"
"61","1829","1829","1829","0.9584374734660761","0.9584374734660761","0.9584374734660761","","","","","","","1829","1829","1829","0.9615149494864728","0.9615149494864728","0.9615149494864728","","","","","","","","","","","","","1829","1829","1829","0.9546208267832952","0.9546208267832952","0.9546208267832952"
"62","1859","1859","1859","0.9583120178949375","0.9583120178949375","0.9583120178949375","","","","","","","1859","1859","1859","0.9594189372641615","0.9594189372641615","0.9594189372641615","","","","","","","","","","","","","1859","1859","1859","0.9457711229813556","0.9457711229813556","0.9457711229813556"
"63","1889","1889","1889","0.9610625747806328","0.9610625747806328","0.9610625747806328","","","","","","","1889","1889","1889","0.9615950545639903","0.9615950545639903","0.9615950545639903","","","","","","","","","","","","","1889","1889","1889","0.9549151105160448","0.9549151105160448","0.9549151105160448"
"64","1919","1919","1919","0.9589770171892499","0.9589770171892499","0.9589770171892499","","","","","","","1919","1919","1919","0.9603171878512102","0.9603171878512102","0.9603171878512102","","","","","","","","","","","","","1919","1919","1919","0.9556576718695409","0.9556576718695409","0.9556576718695409"
"65","1949","1949","1949","0.9626660891189472","0.9626660891189472","0.9626660891189472","","","","","","","1949","1949","1949","0.9592588683879227","0.9592588683879227","0.9592588683879227","","","","","","","","","","","","","1949","1949","1949","0.9571262649573627","0.9571262649573627","0.9571262649573627"
"66","1979","1979","1979","0.9579237837626301","0.9579237837626301","0.9579237837626301","","","","","","","1979","1979","1979","0.9586434579511212","0.9586434579511212","0.9586434579511212","","","","","","","","","","","","","1979","1979","1979","0.9546297273474638","0.9546297273474638","0.9546297273474638"
"67","2009","2009","2009","0.9631954607687855","0.9631954607687855","0.9631954607687855","","","","","","","2009","2009","2009","0.9606381732764658","0.9606381732764658","0.9606381732764658","","","","","","","","","","","","","2009","2009","2009","0.9536047496801094","0.9536047496801094","0.9536047496801094"
"68","2039","2039","2039","0.9623013072668303","0.9623013072668303","0.9623013072668303","","","","","","","2039","2039","2039","0.9599977564927143","0.9599977564927143","0.9599977564927143","","","","","","","","","","","","","2039","2039","2039","0.9541190044987408","0.9541190044987408","0.9541190044987408"
"69","2069","2069","2069","0.9614452990398834","0.9614452990398834","0.9614452990398834","","","","","","","2069","2069","2069","0.9621021041640089","0.9621021041640089","0.9621021041640089","","","","","","","","","","","","","2069","2069","2069","0.9559472934020118","0.9559472934020118","0.9559472934020118"
"70","2099","2099","2099","0.960725907408985","0.960725907408985","0.960725907408985","","","","","","","2099","2099","2099","0.9582665261225201","0.9582665261225201","0.9582665261225201","","","","","","","","","","","","","2099","2099","2099","0.9551315496320182","0.9551315496320182","0.9551315496320182"
"71","2129","2129","2129","0.9640442637771197","0.9640442637771197","0.9640442637771197","","","","","","","2129","2129","2129","0.9589633131460061","0.9589633131460061","0.9589633131460061","","","","","","","","","","","","","2129","2129","2129","0.9544673980104837","0.9544673980104837","0.9544673980104837"
"72","2159","2159","2159","0.9588353145565336","0.9588353145565336","0.9588353145565336","","","","","","","2159","2159","2159","0.960951247089127","0.960951247089127","0.960951247089127","","","","","","","","","","","","","2159","2159","2159","0.957732916108792","0.957732916108792","0.957732916108792"
"73","2189","2189","2189","0.9590880623231631","0.9590880623231631","0.9590880623231631","","","","","","","2189","2189","2189","0.9623941274360173","0.9623941274360173","0.9623941274360173","","","","","","","","","","","","","2189","2189","2189","0.9492005244834035","0.9492005244834035","0.9492005244834035"
"74","2219","2219","2219","0.9616111603467716","0.9616111603467716","0.9616111603467716","","","","","","","2219","2219","2219","0.9610726055751722","0.9610726055751722","0.9610726055751722","","","","","","","","","","","","","2219","2219","2219","0.9535938712127923","0.9535938712127923","0.9535938712127923"
"75","2249","2249","2249","0.9621577680097618","0.9621577680097618","0.9621577680097618","","","","","","","2249","2249","2249","0.9601277329853354","0.9601277329853354","0.9601277329853354","","","","","","","","","","","","","2249","2249","2249","0.9490524643048526","0.9490524643048526","0.9490524643048526"
"76","2279","2279","2279","0.9587795094319843","0.9587795094319843","0.9587795094319843","","","","","","","2279","2279","2279","0.9632477339234267","0.9632477339234267","0.9632477339234267","","","","","","","","","","","","","2279","2279","2279","0.9546779034170113","0.9546779034170113","0.9546779034170113"
"77","2309","2309","2309","0.9610288091483107","0.9610288091483107","0.9610288091483107","","","","","","","2309","2309","2309","0.9620203037409354","0.9620203037409354","0.9620203037409354","","","","","","","","","","","","","2309","2309","2309","0.9544240254200113","0.9544240254200113","0.9544240254200113"
"78","2339","2339","2339","0.9612062553164977","0.9612062553164977","0.9612062553164977","","","","","","","2339","2339","2339","0.9604025202441919","0.9604025202441919","0.9604025202441919","","","","","","","","","","","","","2339","2339","2339","0.9539264414993467","0.9539264414993467","0.9539264414993467"
"79","2369","2369","2369","0.9603705912362219","0.9603705912362219","0.9603705912362219","","","","","","","2369","2369","2369","0.9637831805615069","0.9637831805615069","0.9637831805615069","","","","","","","","","","","","","2369","2369","2369","0.9533799751151528","0.9533799751151528","0.9533799751151528"
"80","2399","2399","2399","0.9600347715373521","0.9600347715373521","0.9600347715373521","","","","","","","2399","2399","2399","0.9613742358053308","0.9613742358053308","0.9613742358053308","","","","","","","","","","","","","2399","2399","2399","0.9486577313479142","0.9486577313479142","0.9486577313479142"
"81","2429","2429","2429","0.9613123556925395","0.9613123556925395","0.9613123556925395","","","","","","","2429","2429","2429","0.9623110555037768","0.9623110555037768","0.9623110555037768","","","","","","","","","","","","","2429","2429","2429","0.9492998434772215","0.9492998434772215","0.9492998434772215"
