"Epoch","fearless-sun-353 - _step","fearless-sun-353 - _step__MIN","fearless-sun-353 - _step__MAX","fearless-sun-353 - RI score","fearless-sun-353 - RI score__MIN","fearless-sun-353 - RI score__MAX","silvery-fog-321 - _step","silvery-fog-321 - _step__MIN","silvery-fog-321 - _step__MAX","silvery-fog-321 - RI score","silvery-fog-321 - RI score__MIN","silvery-fog-321 - RI score__MAX","honest-feather-317 - _step","honest-feather-317 - _step__MIN","honest-feather-317 - _step__MAX","honest-feather-317 - RI score","honest-feather-317 - RI score__MIN","honest-feather-317 - RI score__MAX","rare-tree-337 - _step","rare-tree-337 - _step__MIN","rare-tree-337 - _step__MAX","rare-tree-337 - RI score","rare-tree-337 - RI score__MIN","rare-tree-337 - RI score__MAX","pleasant-grass-346 - _step","pleasant-grass-346 - _step__MIN","pleasant-grass-346 - _step__MAX","pleasant-grass-346 - RI score","pleasant-grass-346 - RI score__MIN","pleasant-grass-346 - RI score__MAX","brisk-valley-351 - _step","brisk-valley-351 - _step__MIN","brisk-valley-351 - _step__MAX","brisk-valley-351 - RI score","brisk-valley-351 - RI score__MIN","brisk-valley-351 - RI score__MAX","brisk-moon-313 - _step","brisk-moon-313 - _step__MIN","brisk-moon-313 - _step__MAX","brisk-moon-313 - RI score","brisk-moon-313 - RI score__MIN","brisk-moon-313 - RI score__MAX"
"37","5179","5179","5179","0.641975127433213","0.641975127433213","0.641975127433213","1294","1294","1294","0.8340933894488795","0.8340933894488795","0.8340933894488795","","","","","","","","","","","","","1294","1294","1294","0.7885289639093165","0.7885289639093165","0.7885289639093165","1294","1294","1294","0.7557643746162026","0.7557643746162026","0.7557643746162026","","","","","",""
"38","5319","5319","5319","0.6324144163034633","0.6324144163034633","0.6324144163034633","1329","1329","1329","0.8299991512773276","0.8299991512773276","0.8299991512773276","","","","","","","","","","","","","1329","1329","1329","0.7881039036250443","0.7881039036250443","0.7881039036250443","1329","1329","1329","0.7525103718903051","0.7525103718903051","0.7525103718903051","","","","","",""
"39","5459","5459","5459","0.6313560092061448","0.6313560092061448","0.6313560092061448","1364","1364","1364","0.8331158606297522","0.8331158606297522","0.8331158606297522","","","","","","","","","","","","","1364","1364","1364","0.7888733456148497","0.7888733456148497","0.7888733456148497","1364","1364","1364","0.7518966954733126","0.7518966954733126","0.7518966954733126","","","","","",""
"40","5599","5599","5599","0.6390111881618165","0.6390111881618165","0.6390111881618165","1399","1399","1399","0.8315260532897989","0.8315260532897989","0.8315260532897989","","","","","","","","","","","","","1399","1399","1399","0.7905717894568675","0.7905717894568675","0.7905717894568675","1399","1399","1399","0.7428585978102955","0.7428585978102955","0.7428585978102955","","","","","",""
"41","5739","5739","5739","0.6365051597345994","0.6365051597345994","0.6365051597345994","1434","1434","1434","0.8324220048826516","0.8324220048826516","0.8324220048826516","","","","","","","","","","","","","1434","1434","1434","0.7905778802901633","0.7905778802901633","0.7905778802901633","1434","1434","1434","0.7375611704384901","0.7375611704384901","0.7375611704384901","","","","","",""
"42","5879","5879","5879","0.632135236469114","0.632135236469114","0.632135236469114","1469","1469","1469","0.834715153693691","0.834715153693691","0.834715153693691","","","","","","","","","","","","","1469","1469","1469","0.7837325824633926","0.7837325824633926","0.7837325824633926","1469","1469","1469","0.7380427456677701","0.7380427456677701","0.7380427456677701","","","","","",""
"43","6019","6019","6019","0.6236358280787415","0.6236358280787415","0.6236358280787415","1504","1504","1504","0.8335633871024108","0.8335633871024108","0.8335633871024108","","","","","","","","","","","","","1504","1504","1504","0.7836184542263893","0.7836184542263893","0.7836184542263893","1504","1504","1504","0.7342397691474332","0.7342397691474332","0.7342397691474332","","","","","",""
"44","6159","6159","6159","0.6924677360572339","0.6924677360572339","0.6924677360572339","1539","1539","1539","0.8364799976036066","0.8364799976036066","0.8364799976036066","","","","","","","","","","","","","1539","1539","1539","0.7894747405155241","0.7894747405155241","0.7894747405155241","1539","1539","1539","0.7331044777609698","0.7331044777609698","0.7331044777609698","","","","","",""
"45","6299","6299","6299","0.7221874079510336","0.7221874079510336","0.7221874079510336","1574","1574","1574","0.8330376782941673","0.8330376782941673","0.8330376782941673","","","","","","","","","","","","","1574","1574","1574","0.7745317297467311","0.7745317297467311","0.7745317297467311","1574","1574","1574","0.7235057238855522","0.7235057238855522","0.7235057238855522","","","","","",""
"46","6439","6439","6439","0.7172089006045901","0.7172089006045901","0.7172089006045901","1609","1609","1609","0.832156204911608","0.832156204911608","0.832156204911608","","","","","","","","","","","","","1609","1609","1609","0.7908378889770895","0.7908378889770895","0.7908378889770895","1609","1609","1609","0.7311586062975223","0.7311586062975223","0.7311586062975223","","","","","",""
"47","6579","6579","6579","0.6360693156799018","0.6360693156799018","0.6360693156799018","1644","1644","1644","0.8325948447586382","0.8325948447586382","0.8325948447586382","","","","","","","","","","","","","1644","1644","1644","0.7805859181931194","0.7805859181931194","0.7805859181931194","1644","1644","1644","0.7152251860949271","0.7152251860949271","0.7152251860949271","","","","","",""
"48","6719","6719","6719","0.6633201032446169","0.6633201032446169","0.6633201032446169","1679","1679","1679","0.8328975891283619","0.8328975891283619","0.8328975891283619","","","","","","","","","","","","","1679","1679","1679","0.7878333108671449","0.7878333108671449","0.7878333108671449","1679","1679","1679","0.705440711728848","0.705440711728848","0.705440711728848","","","","","",""
"49","6859","6859","6859","0.5978362564340667","0.5978362564340667","0.5978362564340667","1714","1714","1714","0.8348177992121857","0.8348177992121857","0.8348177992121857","","","","","","","","","","","","","1714","1714","1714","0.7812343423148163","0.7812343423148163","0.7812343423148163","1714","1714","1714","0.712007129270448","0.712007129270448","0.712007129270448","","","","","",""
"50","6999","6999","6999","0.6327928467656178","0.6327928467656178","0.6327928467656178","1749","1749","1749","0.8335855537416189","0.8335855537416189","0.8335855537416189","","","","","","","","","","","","","1749","1749","1749","0.7865308710390861","0.7865308710390861","0.7865308710390861","1749","1749","1749","0.7504345959331207","0.7504345959331207","0.7504345959331207","","","","","",""
"51","7139","7139","7139","0.6234029785173314","0.6234029785173314","0.6234029785173314","1784","1784","1784","0.8353543916405809","0.8353543916405809","0.8353543916405809","","","","","","","","","","","","","1784","1784","1784","0.7868629712283014","0.7868629712283014","0.7868629712283014","1784","1784","1784","0.741128901003989","0.741128901003989","0.741128901003989","","","","","",""
"52","7279","7279","7279","0.645741259404596","0.645741259404596","0.645741259404596","1819","1819","1819","0.8333951403138277","0.8333951403138277","0.8333951403138277","","","","","","","","","","","","","1819","1819","1819","0.7746326778198811","0.7746326778198811","0.7746326778198811","1819","1819","1819","0.6985171317167662","0.6985171317167662","0.6985171317167662","","","","","",""
"53","7419","7419","7419","0.629492513766781","0.629492513766781","0.629492513766781","1854","1854","1854","0.8342778118931009","0.8342778118931009","0.8342778118931009","","","","","","","","","","","","","1854","1854","1854","0.7879914728333858","0.7879914728333858","0.7879914728333858","1854","1854","1854","0.7254048656771559","0.7254048656771559","0.7254048656771559","","","","","",""
"54","7559","7559","7559","0.6304650500996001","0.6304650500996001","0.6304650500996001","1889","1889","1889","0.8303555149500003","0.8303555149500003","0.8303555149500003","","","","","","","","","","","","","1889","1889","1889","0.7891269639193015","0.7891269639193015","0.7891269639193015","1889","1889","1889","0.7333975367072556","0.7333975367072556","0.7333975367072556","","","","","",""
"55","7699","7699","7699","0.6514143214462235","0.6514143214462235","0.6514143214462235","1924","1924","1924","0.8296090383972122","0.8296090383972122","0.8296090383972122","","","","","","","","","","","","","1924","1924","1924","0.7867816935512054","0.7867816935512054","0.7867816935512054","1924","1924","1924","0.7414994433377766","0.7414994433377766","0.7414994433377766","","","","","",""
"56","7839","7839","7839","0.6330182075975657","0.6330182075975657","0.6330182075975657","1959","1959","1959","0.8324480656611799","0.8324480656611799","0.8324480656611799","","","","","","","","","","","","","1959","1959","1959","0.7916539607890125","0.7916539607890125","0.7916539607890125","1959","1959","1959","0.7437818083783905","0.7437818083783905","0.7437818083783905","","","","","",""
"57","7979","7979","7979","0.6338612388355525","0.6338612388355525","0.6338612388355525","1994","1994","1994","0.835642657800011","0.835642657800011","0.835642657800011","","","","","","","","","","","","","1994","1994","1994","0.78630780675084","0.78630780675084","0.78630780675084","1994","1994","1994","0.740961353163489","0.740961353163489","0.740961353163489","","","","","",""
"58","8119","8119","8119","0.6425518594515255","0.6425518594515255","0.6425518594515255","2029","2029","2029","0.8382131891503287","0.8382131891503287","0.8382131891503287","","","","","","","","","","","","","2029","2029","2029","0.7868415035371765","0.7868415035371765","0.7868415035371765","2029","2029","2029","0.7544153049660262","0.7544153049660262","0.7544153049660262","","","","","",""
"59","8259","8259","8259","0.6351994248655773","0.6351994248655773","0.6351994248655773","2064","2064","2064","0.8333207522678369","0.8333207522678369","0.8333207522678369","","","","","","","","","","","","","2064","2064","2064","0.7877443447611345","0.7877443447611345","0.7877443447611345","2064","2064","2064","0.7786974603222151","0.7786974603222151","0.7786974603222151","","","","","",""
"60","8399","8399","8399","0.6303838722722303","0.6303838722722303","0.6303838722722303","2099","2099","2099","0.8341025756236864","0.8341025756236864","0.8341025756236864","","","","","","","","","","","","","2099","2099","2099","0.7794511260552868","0.7794511260552868","0.7794511260552868","2099","2099","2099","0.7531946420636941","0.7531946420636941","0.7531946420636941","","","","","",""
"61","8539","8539","8539","0.6260041637335809","0.6260041637335809","0.6260041637335809","2134","2134","2134","0.8336577450936341","0.8336577450936341","0.8336577450936341","","","","","","","","","","","","","2134","2134","2134","0.7839121122710321","0.7839121122710321","0.7839121122710321","2134","2134","2134","0.7614334426687834","0.7614334426687834","0.7614334426687834","","","","","",""
"62","8679","8679","8679","0.6465844903420352","0.6465844903420352","0.6465844903420352","2169","2169","2169","0.8380373537825573","0.8380373537825573","0.8380373537825573","","","","","","","","","","","","","2169","2169","2169","0.7922352858947285","0.7922352858947285","0.7922352858947285","2169","2169","2169","0.7809566602263593","0.7809566602263593","0.7809566602263593","","","","","",""
"63","8819","8819","8819","0.6768305699921618","0.6768305699921618","0.6768305699921618","2204","2204","2204","0.8371733541020764","0.8371733541020764","0.8371733541020764","","","","","","","","","","","","","2204","2204","2204","0.7860917319434252","0.7860917319434252","0.7860917319434252","2204","2204","2204","0.7716090284122396","0.7716090284122396","0.7716090284122396","","","","","",""
"64","8959","8959","8959","0.6157913340422664","0.6157913340422664","0.6157913340422664","2239","2239","2239","0.8348466557830465","0.8348466557830465","0.8348466557830465","","","","","","","","","","","","","2239","2239","2239","0.792716661424556","0.792716661424556","0.792716661424556","2239","2239","2239","0.7632146619337896","0.7632146619337896","0.7632146619337896","","","","","",""
"65","9099","9099","9099","0.707065965721589","0.707065965721589","0.707065965721589","2274","2274","2274","0.8332331840579927","0.8332331840579927","0.8332331840579927","","","","","","","","","","","","","2274","2274","2274","0.7983026545049701","0.7983026545049701","0.7983026545049701","2274","2274","2274","0.7627576497371455","0.7627576497371455","0.7627576497371455","","","","","",""
"66","9239","9239","9239","0.6382371530846077","0.6382371530846077","0.6382371530846077","2309","2309","2309","0.8346476552788054","0.8346476552788054","0.8346476552788054","","","","","","","","","","","","","2309","2309","2309","0.7895408410342435","0.7895408410342435","0.7895408410342435","2309","2309","2309","0.7580189814329434","0.7580189814329434","0.7580189814329434","","","","","",""
